LAcode,LAname,Nocarvan,Unemp,LLTI,Sochous,Ethnic,Troutine,random
E06000042,Milton Keynes,18.92396332,7.314777763,13.8806612,18.01813682,26.07778282,24.27323097,0
E06000044,Portsmouth,33.38247166,8.827699281,16.02440309,18.26424719,15.96783318,24.47675742,0
E06000038,Reading,28.34306256,7.611986188,12.91602975,16.29101783,34.66518517,21.32901856,0
E06000039,Slough,23.4113383,8.921887042,13.39752505,20.63585865,65.47840662,26.69573354,0
E06000045,Southampton,29.51126672,8.727854821,16.2101806,23.27335274,22.33263819,26.51761089,1
E06000037,West Berkshire,12.44626243,4.460105286,13.18276969,13.84023099,9.607208332,20.70876542,0
E06000040,Windsor and Maidenhead,13.33698949,4.865067266,12.70337576,13.27871943,22.46748755,15.7050083,0
E06000041,Wokingham,8.986938938,4.227492069,11.90568727,7.021149639,16.36287084,14.59389167,0
E07000004,Aylesbury Vale,13.31873325,4.853641859,13.58355777,12.94124427,14.80271281,20.12939877,0
E07000005,Chiltern,10.87533156,4.308339298,13.43768554,12.37752395,14.09402494,14.70411881,0
E07000006,South Bucks,10.22478691,4.357160135,13.90820584,12.31802067,22.92012502,14.8487511,0
E07000007,Wycombe,13.68680096,5.558704178,13.12367458,12.74664387,24.07949011,18.74899346,0
E07000061,Eastbourne,28.68346219,7.426116616,20.95421076,13.22536213,12.58298797,25.54737275,0
E07000062,Hastings,33.26854394,9.364193831,22.11093137,14.54845842,10.66988721,27.98322127,0
E07000063,Lewes,20.12280411,5.684877964,19.54216324,10.92672056,7.470615987,22.46748185,0
E07000064,Rother,19.03515424,5.92120971,23.44902195,10.37747389,5.860599638,21.9913778,0
E07000065,Wealden,12.44655051,4.361848742,17.50125911,7.671197907,6.157875298,19.94352043,0
E07000084,Basingstoke and Deane,15.22758422,5.027769341,13.54477679,17.81144053,11.7527518,22.04993387,0
E07000085,East Hampshire,11.18117567,4.234047296,14.91505778,12.02124508,6.954536018,19.76844424,0
E07000086,Eastleigh,13.27788106,4.801191363,15.26849256,12.28702302,8.24766971,22.89423686,1
E07000087,Fareham,13.43309217,4.527043542,16.47861195,8.125979519,5.303770355,20.90815045,0
