LAcode,LAname,Ocrowd,Noheat,Lonep,Nocarvan,Noquals,Unemp,LLTI,Sochous,Ethnic,Sroutine,Routine
E07000173,Gedling,3.78933717,1.651502563,10.40142657,21.46953332,14.41873355,6.687623061,19.33716742,9.981965187,9.680913839,14.32327938,11.08136017
E07000174,Mansfield,4.306891026,1.119569088,10.76166311,25.20032051,21.07641255,7.814569536,23.74743936,18.24919872,6.756265196,17.80182749,18.46672283
E07000175,Newark and Sherwood,3.26000041,1.513132266,9.345334509,18.64761241,16.24175581,6.027685611,20.34890304,14.4547188,5.756116255,15.81080278,14.05668786
E07000176,Rushcliffe,3.065343078,1.411585033,7.670993782,15.12163194,8.437428702,4.75394086,15.7285677,8.408421512,9.687840258,9.941180113,6.804532227
E06000019,"Herefordshire, County of",5.259260205,3.845810084,8.582847074,16.37661359,15.1984134,5.325600663,18.72932302,13.9212707,6.297792094,16.22877355,10.90960867
E06000051,Shropshire,4.027021608,3.183367522,8.473556765,15.79576476,13.96193589,5.363775255,18.56276276,13.45528016,4.60002156,15.23681061,10.76143855
E06000021,Stoke-on-Trent,6.117592377,2.510806414,12.13664885,30.88542877,24.48338936,9.856329168,22.69043565,24.16825471,13.56823877,17.83510568,19.71303225
E06000020,Telford and Wrekin,5.188565938,1.654455921,11.72531828,20.64016334,17.20519423,7.889784298,18.59986438,19.67631516,10.52862141,17.18692498,14.22321085
E07000192,Cannock Chase,4.76342711,1.603383828,10.08016919,20.19722605,18.88433012,7.607979393,20.73013072,16.91914224,3.509059941,17.5249744,15.32362952
E07000193,East Staffordshire,5.132166515,3.936424626,9.684451123,21.42388521,16.38327143,6.354520913,17.70247308,13.47484709,13.84802303,16.67368979,15.03509553
E07000194,Lichfield,3.585290122,1.622841063,8.201533088,13.56976519,13.4436253,5.662155388,18.14632305,13.21075102,5.355971943,13.40476477,10.78828738
E07000195,Newcastle-under-Lyme,4.175067524,1.82219348,9.550348081,22.12500476,17.26916132,6.959505605,20.84749457,18.71647582,6.749763867,15.3809498,14.33909135
E07000196,South Staffordshire,3.281749067,1.853434702,8.297719196,13.22371677,13.79979706,5.637714748,18.69306674,13.93000135,5.356465768,13.48522015,10.20342427
E07000197,Stafford,3.822056263,1.893973395,8.356820997,17.48918371,12.18806987,5.667359226,18.21210524,13.67610362,7.418869251,13.14429016,10.17091997
E07000198,Staffordshire Moorlands,3.071435411,2.379584411,8.424303361,14.83290242,16.11198024,4.917182116,21.06460981,8.855214019,2.521986283,15.07109662,13.26489561
E07000199,Tamworth,4.636746054,1.866084701,11.56656229,20.60284024,17.86062039,7.169932859,17.89410647,19.31872094,4.984833296,17.82239192,15.80067918
E07000218,North Warwickshire,3.595227026,1.82860685,9.325120099,15.50054238,17.82472771,5.854691539,19.24726675,14.40802727,4.055535847,15.64868963,15.09854884
E07000219,Nuneaton and Bedworth,4.765608696,2.126690824,10.82885925,22.41088198,18.86033714,7.743522261,19.46396066,14.4808484,11.07607064,16.9866435,16.54902812
E07000220,Rugby,4.897910448,1.721791045,9.229850746,17.51641791,11.92013259,5.695836546,16.10192356,14.31164179,15.85311017,13.59694333,13.4883657
E07000221,Stratford-on-Avon,3.4393776,2.147203821,7.739562471,12.75227238,10.90768016,4.050742636,16.87678964,12.92751502,6.394986928,12.1865311,8.436303119
E07000222,Warwick,6.52703693,2.096150241,8.611257861,18.48702261,9.486708937,5.167383184,14.82767639,13.40513642,16.6431768,11.34492579,7.597951071
E08000025,Birmingham,12.39969226,4.095574773,14.64493008,35.8166803,20.80359342,13.42672013,18.44293576,24.24720502,46.85991734,14.20108069,11.3684673
E08000026,Coventry,9.478039069,3.649527187,13.56927336,32.16452034,16.1578208,10.70820701,17.74577234,17.04149558,33.37077234,14.66246318,13.2146754
E08000027,Dudley,5.400910162,3.639107702,10.59083524,23.02047479,19.70147113,8.890502756,20.26939362,19.80410728,11.4644084,16.98834717,13.86034244
E08000028,Sandwell,8.661870977,3.437093615,13.51215658,33.90755403,25.39848606,12.47075973,20.90578875,27.52226374,34.16216813,18.89771671,17.09504893
E08000029,Solihull,4.509854049,1.797666636,10.82899507,19.74528214,13.77436531,6.988839528,17.86726923,14.91354467,14.23788188,13.32232408,9.097465624
E08000030,Walsall,6.548756284,2.843575523,11.9632357,28.79189776,24.30607024,11.69095386,20.75648942,24.08321122,23.05224582,17.8097034,15.38541678
E08000031,Wolverhampton,8.101627568,3.021227869,14.03251221,33.63770712,22.12171775,13.60348059,20.54675913,28.03762099,35.48522868,18.04281515,15.42034525
E07000234,Bromsgrove,2.964220423,1.663619744,8.519195612,12.46017237,11.67460153,5.090333076,17.56570586,9.973883521,6.404519581,11.69643252,8.618579203
E07000235,Malvern Hills,3.417980877,2.741214454,7.869737986,13.45150875,11.98065012,5.458413476,19.54817703,14.11585744,4.839811874,12.81581701,8.379428913
E07000236,Redditch,7.372847186,1.503369622,11.19463165,20.30700996,17.94090224,7.289030941,17.05892132,21.17101549,12.61429216,17.91980551,13.52142412
E07000237,Worcester,6.893106893,3.227724656,10.22786737,22.42757243,14.05560123,7.297138414,16.20464118,15.31325817,10.88611696,15.28303944,11.34474394
E07000238,Wychavon,4.041159584,2.191404197,8.001455545,12.85125136,13.7509719,5.058045957,17.60244219,14.48671815,6.079833083,13.73170646,10.42453879
E07000239,Wyre Forest,4.462021635,3.170873561,9.889496336,18.41107363,18.32463319,7.01497532,19.90201582,14.43526812,5.259504976,16.25582392,14.44608812
E06000055,Bedford,7.655299944,2.016862032,11.02300508,20.58703692,13.32336663,7.450556087,16.00276862,16.06594371,28.50602303,13.24935832,11.10368834
E06000056,Central Bedfordshire,4.588166553,1.682966312,9.603540264,13.23767469,11.62021213,5.453967362,14.3906188,13.39189073,10.34982959,12.16985074,9.568301385
E06000032,Luton,15.35810911,2.436299517,12.00920679,27.44403914,17.06722791,11.18704999,15.0525834,15.76864577,55.4480539,14.12732081,12.9820671
E06000031,Peterborough,8.348756468,1.54681653,11.21002932,24.87335017,18.28669838,8.055558517,16.65895192,19.4993448,29.07951272,15.95096661,15.24735864
